File Name,Number of trades,Number of positive trades,Number of negative trades,Total profit,Total turnover
BANKNIFTY25JAN1827100CE_2018-01-19.csv,11,4,7,33.0,12546.0
BANKNIFTY25JAN1827200CE_2018-01-19.csv,13,5,8,-8.25,11381.25
BANKNIFTY25JAN1826200PE_2018-01-22.csv,11,4,7,37.5,7462.5
BANKNIFTY25JAN1826300PE_2018-01-22.csv,8,4,4,68.25,7032.75
BANKNIFTY25JAN1826400PE_2018-01-22.csv,9,4,5,77.25,11472.75
BANKNIFTY25JAN1826500PE_2018-01-22.csv,9,4,5,98.25,15455.25
BANKNIFTY25JAN1826600PE_2018-01-22.csv,5,3,2,172.5,12424.5
BANKNIFTY25JAN1826700CE_2018-01-22.csv,11,4,7,-129.0,108322.5
BANKNIFTY25JAN1826700PE_2018-01-22.csv,8,5,3,546.0,24184.5
BANKNIFTY25JAN1826800CE_2018-01-22.csv,12,4,8,-345.0,91657.5
BANKNIFTY25JAN1826800PE_2018-01-22.csv,7,2,5,-550.5,27096.0
BANKNIFTY25JAN1826900CE_2018-01-22.csv,8,4,4,253.5,46791.0
BANKNIFTY25JAN1826900PE_2018-01-22.csv,6,2,4,-412.5,32412.0
BANKNIFTY25JAN1827000CE_2018-01-22.csv,6,2,4,-510.75,25238.25
BANKNIFTY25JAN1827000PE_2018-01-22.csv,8,3,5,-338.25,53829.75
BANKNIFTY25JAN1827100CE_2018-01-22.csv,6,1,5,-611.25,22123.5
BANKNIFTY25JAN1827200CE_2018-01-22.csv,7,2,5,-450.75,17831.25
BANKNIFTY25JAN1827300CE_2018-01-22.csv,8,1,7,-403.5,15273.0
BANKNIFTY25JAN1827400CE_2018-01-22.csv,10,1,9,-624.0,15201.75
BANKNIFTY25JAN1827500CE_2018-01-22.csv,11,3,8,-302.25,11715.75
BANKNIFTY25JAN1827600CE_2018-01-22.csv,20,8,12,-69.75,17529.0
BANKNIFTY25JAN1827700CE_2018-01-22.csv,22,9,13,-12.75,12687.75
BANKNIFTY25JAN1827800CE_2018-01-22.csv,20,6,14,-168.0,9241.5
BANKNIFTY25JAN1826500PE_2018-01-23.csv,11,3,8,-73.5,6813.0
BANKNIFTY25JAN1826600PE_2018-01-23.csv,11,2,9,-153.75,9062.25
BANKNIFTY25JAN1826700PE_2018-01-23.csv,9,2,7,-132.0,9268.5
BANKNIFTY25JAN1826800PE_2018-01-23.csv,10,1,9,-445.5,15219.75
BANKNIFTY25JAN1826900CE_2018-01-23.csv,9,6,3,3162.75,104661.75
BANKNIFTY25JAN1826900PE_2018-01-23.csv,11,2,9,-487.5,22515.75
BANKNIFTY25JAN1827000CE_2018-01-23.csv,7,5,2,1739.25,63625.5
BANKNIFTY25JAN1827000PE_2018-01-23.csv,6,0,6,-639.75,15744.0
BANKNIFTY25JAN1827100CE_2018-01-23.csv,8,6,2,2091.75,59220.0
BANKNIFTY25JAN1827100PE_2018-01-23.csv,10,0,10,-1387.5,34693.5
BANKNIFTY25JAN1827200CE_2018-01-23.csv,6,6,0,2058.75,36557.25
BANKNIFTY25JAN1827200PE_2018-01-23.csv,9,2,7,-606.75,43133.25
BANKNIFTY25JAN1827300CE_2018-01-23.csv,9,7,2,1458.0,32400.0
BANKNIFTY25JAN1827300PE_2018-01-23.csv,16,3,13,-2193.0,100677.75
BANKNIFTY25JAN1827400CE_2018-01-23.csv,6,5,1,764.25,17730.0
BANKNIFTY25JAN1827500CE_2018-01-23.csv,10,6,4,388.5,16999.5
BANKNIFTY25JAN1827600CE_2018-01-23.csv,11,6,5,275.25,12477.75
BANKNIFTY25JAN1826600PE_2018-01-24.csv,23,7,16,-98.25,10247.25
BANKNIFTY25JAN1826700PE_2018-01-24.csv,11,4,7,-37.5,6148.5
BANKNIFTY25JAN1826800PE_2018-01-24.csv,13,3,10,-166.5,8638.5
BANKNIFTY25JAN1826900PE_2018-01-24.csv,13,4,9,-148.5,13135.5
BANKNIFTY25JAN1827000PE_2018-01-24.csv,10,3,7,-119.25,13109.25
BANKNIFTY25JAN1827100CE_2018-01-24.csv,12,4,8,-465.75,117165.75
BANKNIFTY25JAN1827100PE_2018-01-24.csv,15,3,12,-330.0,27928.5
BANKNIFTY25JAN1827200CE_2018-01-24.csv,11,3,8,-888.0,81216.0
BANKNIFTY25JAN1827200PE_2018-01-24.csv,12,5,7,-7.5,32011.5
BANKNIFTY25JAN1827300CE_2018-01-24.csv,11,5,6,455.25,60966.75
BANKNIFTY25JAN1827300PE_2018-01-24.csv,9,5,4,388.5,30630.0
BANKNIFTY25JAN1827400CE_2018-01-24.csv,9,2,7,-593.25,36752.25
BANKNIFTY25JAN1827400PE_2018-01-24.csv,11,4,7,-228.0,54709.5
BANKNIFTY25JAN1827500CE_2018-01-24.csv,10,3,7,-305.25,28470.75
BANKNIFTY25JAN1827500PE_2018-01-24.csv,12,5,7,219.0,77826.0
BANKNIFTY25JAN1827600CE_2018-01-24.csv,13,5,8,-300.0,26224.5
BANKNIFTY25JAN1827700CE_2018-01-24.csv,14,7,7,93.75,21128.25
BANKNIFTY25JAN1827800CE_2018-01-24.csv,15,6,9,36.75,15672.75
BANKNIFTY25JAN1827900CE_2018-01-24.csv,15,7,8,-1.5,10966.5
BANKNIFTY25JAN1827000CE_2018-01-25.csv,12,4,8,-448.5,122931.0
BANKNIFTY25JAN1827100CE_2018-01-25.csv,13,1,12,-3524.25,88214.25
BANKNIFTY25JAN1827100PE_2018-01-25.csv,15,8,7,16.5,4209.75
BANKNIFTY25JAN1827200CE_2018-01-25.csv,13,3,10,-1642.5,62734.5
BANKNIFTY25JAN1827200PE_2018-01-25.csv,13,10,3,513.75,9519.0
BANKNIFTY25JAN1827300CE_2018-01-25.csv,11,3,8,-1183.5,27084.0
BANKNIFTY25JAN1827300PE_2018-01-25.csv,14,8,6,629.25,22420.5
BANKNIFTY25JAN1827400CE_2018-01-25.csv,13,4,9,-325.5,16444.5
BANKNIFTY25JAN1827400PE_2018-01-25.csv,13,7,6,333.0,35087.25
BANKNIFTY25JAN1827500CE_2018-01-25.csv,12,1,11,-303.75,4500.0
BANKNIFTY25JAN1827500PE_2018-01-25.csv,11,7,4,1107.0,60685.5
BANKNIFTY25JAN1827600CE_2018-01-25.csv,16,2,14,-139.5,2697.75
BANKNIFTY25JAN1827600PE_2018-01-25.csv,15,8,7,1996.5,119562.0
BANKNIFTY01FEB1826400PE_2018-01-29.csv,10,4,6,45.75,10834.5
BANKNIFTY01FEB1826500PE_2018-01-29.csv,5,2,3,40.5,7086.0
BANKNIFTY01FEB1826600PE_2018-01-29.csv,7,2,5,-40.5,11973.0
BANKNIFTY01FEB1826700PE_2018-01-29.csv,7,3,4,158.25,14276.25
BANKNIFTY01FEB1826800PE_2018-01-29.csv,8,1,7,-471.75,21130.5
BANKNIFTY01FEB1826900PE_2018-01-29.csv,8,2,6,-231.75,26172.0
BANKNIFTY01FEB1827000PE_2018-01-29.csv,7,1,6,-662.25,28949.25
BANKNIFTY01FEB1827100PE_2018-01-29.csv,8,2,6,-460.5,40702.5
BANKNIFTY01FEB1827200PE_2018-01-29.csv,8,2,6,-461.25,49602.75
BANKNIFTY01FEB1827300PE_2018-01-29.csv,5,1,4,-498.75,37490.25
BANKNIFTY01FEB1827400CE_2018-01-29.csv,5,0,5,-2019.75,63737.25
BANKNIFTY01FEB1827400PE_2018-01-29.csv,6,1,5,-795.0,52100.25
BANKNIFTY01FEB1827500CE_2018-01-29.csv,4,1,3,-395.25,44726.25
BANKNIFTY01FEB1827500PE_2018-01-29.csv,6,1,5,-1126.5,61941.0
BANKNIFTY01FEB1827600CE_2018-01-29.csv,5,0,5,-1367.25,44016.75
BANKNIFTY01FEB1827700CE_2018-01-29.csv,4,0,4,-852.0,31163.25
BANKNIFTY01FEB1827800CE_2018-01-29.csv,6,0,6,-1266.0,38197.5
BANKNIFTY01FEB1827900CE_2018-01-29.csv,7,0,7,-1268.25,40146.75
BANKNIFTY01FEB1828000CE_2018-01-29.csv,5,0,5,-764.25,24440.25
BANKNIFTY01FEB1828100CE_2018-01-29.csv,5,0,5,-654.75,19527.0
BANKNIFTY01FEB1828200CE_2018-01-29.csv,5,0,5,-523.5,15279.0
BANKNIFTY01FEB1828300CE_2018-01-29.csv,6,0,6,-547.5,14694.0
BANKNIFTY01FEB1828400CE_2018-01-29.csv,6,1,5,-238.5,12814.5
BANKNIFTY01FEB1828500CE_2018-01-29.csv,7,1,6,-229.5,11614.5
BANKNIFTY01FEB1828600CE_2018-01-29.csv,11,5,6,80.25,13182.75
BANKNIFTY01FEB1826200PE_2018-01-30.csv,24,6,18,-213.75,12495.75
BANKNIFTY01FEB1826300PE_2018-01-30.csv,23,7,16,-91.5,16204.5
BANKNIFTY01FEB1826400PE_2018-01-30.csv,18,7,11,-93.0,16656.0
BANKNIFTY01FEB1826500PE_2018-01-30.csv,15,6,9,-31.5,18981.0
BANKNIFTY01FEB1826600PE_2018-01-30.csv,16,6,10,-222.75,25083.75
BANKNIFTY01FEB1826700PE_2018-01-30.csv,11,2,9,-499.5,24147.0
BANKNIFTY01FEB1826800PE_2018-01-30.csv,9,2,7,-416.25,22638.75
BANKNIFTY01FEB1826900PE_2018-01-30.csv,10,2,8,-515.25,32177.25
BANKNIFTY01FEB1827000PE_2018-01-30.csv,9,2,7,-462.0,38083.5
BANKNIFTY01FEB1827100PE_2018-01-30.csv,6,2,4,-187.5,32571.75
BANKNIFTY01FEB1827200PE_2018-01-30.csv,8,2,6,-743.25,49971.75
BANKNIFTY01FEB1827300CE_2018-01-30.csv,5,0,5,-1378.5,48582.75
BANKNIFTY01FEB1827300PE_2018-01-30.csv,6,3,3,295.5,47514.75
BANKNIFTY01FEB1827400CE_2018-01-30.csv,5,0,5,-1313.25,34817.25
BANKNIFTY01FEB1827400PE_2018-01-30.csv,6,1,5,-1032.0,58671.0
BANKNIFTY01FEB1827500CE_2018-01-30.csv,6,0,6,-1115.25,35117.25
BANKNIFTY01FEB1827600CE_2018-01-30.csv,5,0,5,-852.75,25844.25
BANKNIFTY01FEB1827700CE_2018-01-30.csv,5,0,5,-649.5,20013.0
BANKNIFTY01FEB1827800CE_2018-01-30.csv,6,0,6,-692.25,19067.25
BANKNIFTY01FEB1827900CE_2018-01-30.csv,6,0,6,-620.25,16181.25
BANKNIFTY01FEB1828000CE_2018-01-30.csv,8,1,7,-383.25,16647.0
BANKNIFTY01FEB1828100CE_2018-01-30.csv,8,0,8,-437.25,12531.75
BANKNIFTY01FEB1828200CE_2018-01-30.csv,12,2,10,-321.75,13485.75
